Date,IBX
2010-12-08,21645.18
2010-12-09,21602.92
2010-12-10,21734.26
2010-12-13,21987.47
2010-12-14,21923.97
2010-12-15,21689.46
2010-12-16,21571.88
2010-12-17,21777.01
2010-12-20,21547.58
2010-12-21,21823.93
2010-12-22,21938.2
2010-12-23,21946.24
2010-12-27,21736.88
2010-12-28,21819.81
2010-12-29,22089.63
2010-12-30,22239.51
2011-01-03,22437.63
2011-01-04,22554.08
2011-01-05,22818.78
2011-01-06,22609.34
2011-01-07,22380.04
2011-01-10,22434.14
2011-01-11,22554.33
2011-01-12,22942.14
2011-01-13,22627.45
2011-01-14,22729.53
2011-01-17,22648.45
2011-01-18,22703.43
2011-01-19,22408.57
2011-01-20,22216.09
2011-01-21,22110.28
2011-01-24,22235.48
2011-01-26,22054.63
2011-01-27,21907.82
2011-01-28,21488.81
2011-01-31,21462.33
2011-02-01,21810.38
2011-02-02,21556.47
2011-02-03,21559.12
2011-02-04,21106.92
2011-02-07,21152.11
2011-02-08,21248.28
2011-02-09,20742.38
2011-02-10,20834.47
2011-02-11,21221.55
2011-02-14,21475.93
2011-02-15,21531.68
2011-02-16,21902.21
2011-02-17,21929.39
2011-02-18,22009.02
2011-02-21,21770.81
2011-02-22,21533.68
2011-02-23,21732.55
2011-02-24,21659.28
2011-02-25,21701.31
2011-02-28,21891.84
2011-03-01,21593.38
2011-03-02,21905.4
2011-03-03,22126.44
2011-03-04,22107.22
2011-03-09,21808.46
2011-03-10,21357.42
2011-03-11,21565.43
2011-03-14,21699.81
2011-03-15,21633.56
2011-03-16,21264.58
2011-03-17,21391.08
2011-03-18,21582.0
2011-03-21,21621.44
2011-03-22,21916.66
2011-03-23,21997.35
2011-03-24,21931.96
2011-03-25,21990.17
2011-03-28,21839.81
2011-03-29,21939.38
2011-03-30,22142.67
2011-03-31,22385.5
2011-04-01,22584.59
2011-04-04,22625.97
2011-04-05,22636.89
2011-04-06,22427.73
2011-04-07,22402.22
2011-04-08,22218.48
2011-04-11,22069.34
2011-04-12,21690.22
2011-04-13,21543.56
2011-04-14,21486.81
2011-04-15,21607.46
2011-04-18,21297.38
2011-04-19,21510.75
2011-04-20,21821.88
2011-04-25,21817.98
2011-04-26,21894.17
2011-04-27,21640.61
2011-04-28,21418.35
2011-04-29,21561.98
2011-05-02,21419.19
2011-05-03,21076.49
2011-05-04,20913.3
2011-05-05,20904.03
2011-05-06,21149.87
2011-05-09,21243.33
2011-05-10,21306.57
2011-05-11,20977.1
2011-05-12,21002.32
