Date,S&P
2009-12-30,1856.14
2009-12-31,1837.5
2010-01-04,1867.06
2010-01-05,1872.9
2010-01-06,1874.73
2010-01-07,1882.34
2010-01-08,1887.77
2010-01-11,1891.06
2010-01-12,1873.32
2010-01-13,1889.1
2010-01-14,1893.72
2010-01-15,1873.3
2010-01-19,1896.72
2010-01-20,1876.9
2010-01-21,1841.39
2010-01-22,1800.61
2010-01-25,1808.93
2010-01-26,1801.34
2010-01-27,1810.21
2010-01-28,1788.97
2010-01-29,1771.4
2010-02-01,1796.67
2010-02-02,1819.99
2010-02-03,1810.64
2010-02-04,1754.3
2010-02-05,1759.38
2010-02-08,1744.37
2010-02-09,1767.18
2010-02-10,1763.69
2010-02-11,1781.01
2010-02-12,1776.5
2010-02-16,1808.72
2010-02-17,1816.7
2010-02-18,1828.81
2010-02-19,1833.09
2010-02-22,1831.21
2010-02-23,1809.05
2010-02-24,1826.99
2010-02-25,1823.64
2010-02-26,1826.27
2010-03-01,1844.87
2010-03-02,1849.17
2010-03-03,1850.24
2010-03-04,1857.2
2010-03-05,1883.28
2010-03-08,1883.29
2010-03-09,1886.6
2010-03-10,1895.38
2010-03-11,1903.68
2010-03-12,1903.29
2010-03-15,1904.19
2010-03-16,1919.02
2010-03-17,1930.22
2010-03-18,1929.63
2010-03-19,1919.8
2010-03-22,1929.64
2010-03-23,1943.7
2010-03-24,1933.04
2010-03-25,1929.75
2010-03-26,1931.18
2010-03-29,1942.51
2010-03-30,1942.81
2010-03-31,1936.48
2010-04-01,1950.91
2010-04-05,1966.44
2010-04-06,1969.76
2010-04-07,1959.04
2010-04-08,1965.72
2010-04-09,1978.86
2010-04-12,1982.4
2010-04-13,1983.91
2010-04-14,2006.06
2010-04-15,2007.74
2010-04-16,1975.36
2010-04-19,1984.32
2010-04-20,2000.33
2010-04-21,1998.31
2010-04-22,2002.93
2010-04-23,2017.19
2010-04-26,2008.55
2010-04-27,1961.6
2010-04-28,1974.63
2010-04-29,2000.34
2010-04-30,1967.05
2010-05-03,1992.87
2010-05-04,1945.37
2010-05-05,1933.25
2010-05-06,1870.95
2010-05-07,1842.32
2010-05-10,1923.39
2010-05-11,1917.25
2010-05-12,1944.25
2010-05-13,1920.76
2010-05-14,1884.67
2010-05-17,1887.11
2010-05-18,1860.65
2010-05-19,1851.28
2010-05-20,1779.3
2010-05-21,1806.05
2010-05-24,1782.77
2010-05-25,1783.4
2010-05-26,1773.65
2010-05-27,1832.61
2010-05-28,1809.98
2010-06-01,1778.99
2010-06-02,1825.25
2010-06-03,1832.72
2010-06-04,1769.72
2010-06-07,1745.87
2010-06-08,1765.29
2010-06-09,1754.91
2010-06-10,1806.69
2010-06-11,1815.26
2010-06-14,1812.02
2010-06-15,1854.61
2010-06-16,1853.62
2010-06-17,1856.25
2010-06-18,1858.7
2010-06-21,1851.55
2010-06-22,1822.05
2010-06-23,1816.65
2010-06-24,1786.13
2010-06-25,1791.24
2010-06-28,1787.94
2010-06-29,1732.55
2010-06-30,1715.23
2010-07-01,1709.77
2010-07-02,1701.86
2010-07-06,1710.97
2010-07-07,1765.42
2010-07-08,1782.1
2010-07-09,1794.94
2010-07-12,1796.3
2010-07-13,1824.07
2010-07-14,1823.82
2010-07-15,1826.0
2010-07-16,1773.43
2010-07-19,1784.06
2010-07-20,1804.48
2010-07-21,1781.6
2010-07-22,1821.76
2010-07-23,1836.75
2010-07-26,1857.34
2010-07-27,1855.39
2010-07-28,1842.66
2010-07-29,1835.29
2010-07-30,1835.4
2010-08-02,1875.85
2010-08-03,1866.87
2010-08-04,1878.81
2010-08-05,1876.51
2010-08-06,1869.77
2010-08-09,1880.06
2010-08-10,1868.88
2010-08-11,1817.13
2010-08-12,1807.61
2010-08-13,1800.39
2010-08-16,1800.7
2010-08-17,1823.18
2010-08-18,1826.14
2010-08-19,1795.24
2010-08-20,1788.67
2010-08-23,1781.47
2010-08-24,1755.65
2010-08-25,1761.62
2010-08-26,1748.14
2010-08-27,1777.6
2010-08-30,1751.79
2010-08-31,1752.55
2010-09-01,1804.46
2010-09-02,1820.98
2010-09-03,1845.1
2010-09-07,1824.05
2010-09-08,1836.21
2010-09-09,1845.09
2010-09-10,1854.1
